IMG Taxon id,GOLD biome1,GOLD biome2,High quality reads sampled (up to 500K),Mapped to GEM catalogue,Mapped to NCBI RefSeq,Mapped to either,Nonpareil kmer diversity
3300026823,Terrestrial,Soil,102298,2961,146,3036,38.7790709
3300026852,Terrestrial,Soil,227226,9713,498,10033,38.73371652
3300026845,Terrestrial,Soil,97152,2730,176,2838,38.63463126
3300026895,Terrestrial,Soil,89511,2727,216,2886,37.72356967
3300017959,Terrestrial,Soil,473948,1949,594,2272,37.52673088
3300025885,Terrestrial,Soil,284070,7308,1884,8814,37.40223337
3300021402,Terrestrial,Soil,440424,9140,2419,11012,37.26235074
3300020582,Terrestrial,Soil,459773,9056,3214,11580,37.18465971
3300021477,Terrestrial,Soil,464748,12567,2756,14737,37.17173854
3300026075,Terrestrial,Soil,345786,8721,3709,11755,36.84304544
3300005440,Terrestrial,Soil,459653,11803,3332,14436,36.63566423
3300027330,Terrestrial,Soil,204509,7914,333,8085,36.49240621
3300026802,Terrestrial,Soil,340082,7908,2224,9464,36.41585458
3300026881,Terrestrial,Soil,67772,3129,856,3838,36.29308907
3300021403,Terrestrial,Soil,459233,7696,3442,10310,36.25537595
3300026983,Terrestrial,Soil,105305,4961,1442,6159,36.22872594
3300025925,Host-associated,Plants,460338,26079,13436,35361,36.12032114
3300026041,Host-associated,Plants,457097,27587,16690,38728,36.0666891
3300005547,Terrestrial,Soil,280886,9853,3934,12818,35.99509723
3300018058,Terrestrial,Soil,473130,2740,2523,5005,35.73486497
3300021404,Terrestrial,Soil,448720,8703,3989,11724,35.63514278
3300027370,Terrestrial,Soil,221225,3975,631,4425,35.46315815
3300012493,Terrestrial,Soil,466955,14209,3417,16773,35.43479023
3300027917,Aquatic,Marine,362916,4603,254,4759,35.38557285
3300026817,Terrestrial,Soil,58696,1888,79,1928,35.3678651
3300021432,Terrestrial,Soil,461471,7484,4795,11583,35.34625391
3300025921,Terrestrial,Soil,456026,33728,5870,38433,35.21480972
3300025936,Terrestrial,Soil,451336,14046,5044,18084,35.18986883
3300021406,Terrestrial,Soil,463831,8872,3385,11423,35.18863711
3300027526,Host-associated,Plants,144858,5282,2890,7464,35.15474052
3300026803,Terrestrial,Soil,278898,6853,1527,7986,35.05197332
3300027063,Terrestrial,Soil,221861,8609,435,8888,35.04951969
3300005535,Terrestrial,Soil,459976,30540,8473,36647,35.04051775
